# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: example
# Creation date: 12/09/2018 11:38:13
# 
# 12/09/2018 11:38:13
# The parameters defined in the project are:
# ,P1 - ZXPlane.H1 [m],P2 - ZXPlane.H2 [m],P3 - ZXPlane.H5 [m],P4 - ZXPlane.H6 [m],P5 - ZXPlane.V3 [m],P6 - ZXPlane.V4 [m],P7 - ZXPlane.V7 [m],P8 - ZXPlane.V8 [m],P9 - L [m],P10 - T [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
DP 0,2.9247361889871235,3.3167111421503455,0.753797986852351,1.2663806179119534,2.42722935926207,3.2413311319338209,0.93470944269719514,0.57289,1,0.2
# 
# A non parametric change occurred and invalidated design point results.
# 12/09/2018 11:40:03
# 
# 
# A non parametric change occurred and invalidated design point results.
# 12/09/2018 13:18:40
# 
# 
# 12/09/2018 13:25:33
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - ZXPlane.H1 [m],P2 - ZXPlane.H2 [m],P3 - ZXPlane.H5 [m],P4 - ZXPlane.H6 [m],P5 - ZXPlane.V3 [m],P6 - ZXPlane.V4 [m],P7 - ZXPlane.V7 [m],P8 - ZXPlane.V8 [m],P9 - L [m],P10 - T [m],P11 - Equivalent Elastic Strain Maximum [m m^-1],P12 - Geometry Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
DP 1,2.6351873062773983,2.988356739077461,0.67917198615396823,1.14100893673867,2.1869336526951253,2.9204393498723729,0.84217320787017291,0.51617389,0.901,0.1802,9.2665453088613958E-10,611.77323360000025
DP 2,2.6410367786553723,3.3200278532924958,0.72942518527745825,1.1916641614551482,2.2562830629597559,2.9793726431802603,0.85655335314243741,0.52291377235294112,0.91152631578947374,0.1819391304347826,9.0502566552075336E-10,624.68463868208153
DP 3,2.6468862510333468,3.1541922961849784,0.77967838440094839,1.2423193861716264,2.325632473224386,3.0383059364881482,0.87093349841470191,0.52965365470588233,0.92205263157894735,0.18367826086956521,8.8419710442266819E-10,637.73000376814275
DP 4,2.6527357234113209,3.4858634104000132,0.69592305252846487,1.2929746108881044,2.3949818834890166,3.0972392297960356,0.88531364368696641,0.53639353705882353,0.93257894736842106,0.18541739130434781,8.6394041920456743E-10,650.90932885818358
DP 5,2.658585195789295,3.0712745176312195,0.746176251651955,1.3436298356045826,2.4643312937536472,3.1561725231039235,0.899693788959231,0.54313341941176474,0.94310526315789478,0.18715652173913044,8.4433510183501426E-10,664.22261395220448
DP 6,2.6644346681672695,3.4029456318462543,0.796429450775445,1.1511399816819656,2.5336807040182778,3.2151058164118109,0.91407393423149552,0.54987330176470584,0.9536315789473685,0.18889565217391305,8.2535461798372012E-10,677.66985905020408
DP 7,2.6702841405452435,3.2371100747387374,0.71267411890296162,1.2017952063984438,2.6030301142829084,3.2740391097196984,0.92845407950376,0.556613184117647,0.9641578947368421,0.19063478260869565,8.0697298843190879E-10,691.2510641521842
DP 8,2.6761336129232181,3.5687811889537722,0.76292731802645175,1.252450431114922,2.196840711304358,3.3329724030275862,0.94283422477602463,0.56335306647058825,0.97468421052631582,0.19237391304347826,7.8916606582879467E-10,704.96622925814393
DP 9,2.6819830853011921,3.0298156283543403,0.81318051714994177,1.3031056558314,2.2661901215689886,3.3919056963354741,0.95721437004828913,0.57009294882352946,0.98521052631578954,0.19411304347826089,7.7191053549086064E-10,718.81535436808349
DP 10,2.6878325576791662,3.3614867425693751,0.68475567494546707,1.3537608805478782,2.3355395318336192,3.4508389896433616,0.97159451532055363,0.57683283117647055,0.99573684210526325,0.19585217391304349,7.5518435949106788E-10,732.79843948200244
DP 11,2.6936820300571407,3.1956511854618577,0.73500887406895721,1.1612710266252613,2.4048889420982498,3.509772282951249,0.98597466059281824,0.58357271352941176,1.006263157894737,0.1975913043478261,7.389669431923096E-10,746.91548459990156
# 
# 12/09/2018 13:53:38
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - ZXPlane.H1 [m],P2 - ZXPlane.H2 [m],P3 - ZXPlane.H5 [m],P4 - ZXPlane.H6 [m],P5 - ZXPlane.V3 [m],P6 - ZXPlane.V4 [m],P7 - ZXPlane.V7 [m],P8 - ZXPlane.V8 [m],P9 - L [m],P10 - T [m],P11 - Equivalent Elastic Strain Maximum [m m^-1],P12 - Geometry Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
DP 1,2.632262570091,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,0.2,7.3298778158203959E-10,753.600000000001
DP 2,2.7953208464299029,3.1699514753294311,0.72044351712006449,1.2103451087604087,2.3198279737322909,3.0979069214427333,0.89334990292853866,0.5475404468066718,1.0442485524155218,0.20884971048310436,6.3143668072029868E-10,821.76691755763375
DP 3,2.7953208464299029,3.1699514753294311,0.72044351712006449,1.2103451087604087,2.3198279737322909,3.0979069214427333,0.97606898246546114,0.59823955319332822,0.95575144758447839,0.19115028951689567,8.1169021504123862E-10,688.384081156285
DP 4,2.7953208464299029,3.1699514753294311,0.72044351712006449,1.2103451087604087,2.3198279737322909,3.3847553424172667,0.89334990292853866,0.59823955319332822,0.95575144758447839,0.19115028951689567,8.1169021504123862E-10,688.384081156285
DP 5,2.7953208464299029,3.1699514753294311,0.72044351712006449,1.2103451087604087,2.3198279737322909,3.3847553424172667,0.97606898246546114,0.5475404468066718,1.0442485524155218,0.20884971048310436,6.3143668072029868E-10,821.76691755763375
# 
# 12/09/2018 14:07:26
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - ZXPlane.H1 [m],P2 - ZXPlane.H2 [m],P3 - ZXPlane.H5 [m],P4 - ZXPlane.H6 [m],P5 - ZXPlane.V3 [m],P6 - ZXPlane.V4 [m],P7 - ZXPlane.V7 [m],P8 - ZXPlane.V8 [m],P9 - L [m],P10 - T [m],P11 - Equivalent Elastic Strain Maximum [m m^-1],P12 - Geometry Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
DP 1,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,0.195,0.195,3.1540132727769787E-09,238.79700000000008
DP 2,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,0.385,1.145,8.5831314278195237E-11,5500.8090000000011
DP 3,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,0.575,0.66999999999999993,1.8504232868199466E-10,2619.2310000000007
DP 4,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,0.7649999999999999,1.62,3.8441982236347982E-11,12132.018000000004
DP 5,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,0.955,0.4325,2.6227606197970488E-10,1884.2943750000006
DP 6,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1.145,1.3825,4.2581761033888554E-11,10972.003874999999
DP 7,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1.335,0.9075,7.3869757533095992E-11,6390.1158750000022
DP 8,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1.525,1.8575000000000002,2.2995671339343104E-11,19728.600375
DP 9,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1.715,0.31375,2.340975191472694E-10,1998.6737812500005
DP 10,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1.905,1.2637500000000002,3.676422014042835E-11,12574.154531250007
# 
# 12/09/2018 15:18:20
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - ZXPlane.H1 [m],P2 - ZXPlane.H2 [m],P3 - ZXPlane.H5 [m],P4 - ZXPlane.H6 [m],P5 - ZXPlane.V3 [m],P6 - ZXPlane.V4 [m],P7 - ZXPlane.V7 [m],P8 - ZXPlane.V8 [m],P9 - L [m],P10 - T [m],P11 - Equivalent Elastic Strain Maximum [m m^-1],P12 - Geometry Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
DP 1,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,0.195,7.5572570423787511E-10,731.69850000000042
DP 2,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,0.385,2.9651181510104152E-10,1674.326500000001
DP 3,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,0.575,1.64060862117843E-10,2843.6625000000008
DP 4,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,0.7649999999999999,1.1126714133391502E-10,4239.7065000000011
DP 5,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,0.955,8.0598659690789276E-11,5862.4585000000025
DP 6,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,1.145,6.1134992901390461E-11,7711.9185000000034
DP 7,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,1.335,4.7933990110493596E-11,9788.0865000000031
DP 8,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,1.525,3.8539092056533164E-11,12090.962500000003
DP 9,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,1.715,3.1621188306685255E-11,14620.546499999999
DP 10,2.92473618899,3.31671114215,0.753797986852,1.26638061791,2.42722935926,3.24133113193,0.934709442697,0.57289,1,1.905,2.637750608214251E-11,17376.838500000009
